_id,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
655e5f613c829e1286438541,366,2013-07-05T00:08:00.000Z,2013-07-05T00:14:06.000Z,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,14993,Subscriber,1981,2
655e5f613c829e128643858c,923,2013-07-05T00:39:27.000Z,2013-07-05T00:54:50.000Z,389,Broadway & Berry St,40.71044554,-73.96525063,410,Suffolk St & Stanton St,40.72066442,-73.98517977,16826,Subscriber,1979,2
655e5f613c829e12864385a3,521,2013-07-05T00:49:52.000Z,2013-07-05T00:58:33.000Z,326,E 11 St & 1 Ave,40.72953837,-73.98426726,401,Allen St & Rivington St,40.72019576,-73.98997825,16850,Subscriber,1981,2
655e5f613c829e128643860f,745,2013-07-05T02:01:41.000Z,2013-07-05T02:14:06.000Z,383,Greenwich Ave & Charles St,40.735238,-74.000271,515,W 43 St & 10 Ave,40.76009437,-73.99461843,17431,Subscriber,1956,2
655e5f613c829e1286438622,598,2013-07-05T02:23:34.000Z,2013-07-05T02:33:32.000Z,462,W 22 St & 10 Ave,40.74691959,-74.00451887,478,11 Ave & W 41 St,40.76030096,-73.99884222,15508,Subscriber,1962,2
655e5f613c829e1286438629,414,2013-07-05T02:29:10.000Z,2013-07-05T02:36:04.000Z,469,Broadway & W 53 St,40.76344058,-73.98268129,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18881,Subscriber,1982,2
655e5f613c829e1286438650,670,2013-07-05T03:17:56.000Z,2013-07-05T03:29:06.000Z,394,E 9 St & Avenue C,40.72521311,-73.97768752,251,Mott St & Prince St,40.72317958,-73.99480012,19415,Subscriber,1979,2
655e5f623c829e128643da25,1855,2013-07-05T23:31:44.000Z,2013-07-06T00:02:39.000Z,525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,18217,Subscriber,1975,2
655e5f623c829e128643da43,2622,2013-07-05T23:40:19.000Z,2013-07-06T00:24:01.000Z,365,Fulton St & Grand Ave,40.68223166,-73.9614583,489,10 Ave & W 28 St,40.75066386,-74.00176802,16887,Subscriber,1982,2
655e5f623c829e128643da47,1293,2013-07-05T23:40:36.000Z,2013-07-06T00:02:09.000Z,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,476,E 31 St & 3 Ave,40.74394314,-73.97966069,19608,Subscriber,1979,2
